id,name
1,Backend Developer
2,Database Administrator
3,DevOps Engineer
4,Django Developer
5,Flutter Developer
6,Full Stack Developer
7,Java Developer
8,JavaScript Developer
9,Machine Learning
10,Network Administrator
11,Node js developer
12,PHP Developer
13,Software Engineer
14,Wordpress Developer
15,iOS Developer
